Site,sample,RB,Sr,87Rb/86Sr,87Sr/86Sr
Ritter Range,f70-11,111,200,1.600,0.7071
Ritter Range,f65-144,159,206,2.230,0.7078
Ritter Range,f70-36,125,118,3.050,0.7093
Ritter Range,f73-10,127,116,3.170,0.70914
Ritter Range,f65-151,148,101,4.250,0.7106
Ritter Range,f70-16,177,118,4.340,0.711
Ritter Range,f70-35,144,94,4.410,0.7113
Cathedral Peak,z63,135,582,0.671,0.70729
Cathedral Peak,z35,129,710,0.526,0.7069
Cathedral Peak,z10,134,663,0.585,0.707
Cathedral Peak,z36,127,641,0.573,0.70701
Cathedral Peak,z11,137,621,0.638,0.70716
Cathedral Peak,z37,132,585,0.653,0.70712
Cathedral Peak,z38,165,525,0.909,0.70765
Cathedral Peak,z12,150,369,1.176,0.70786
Cathedral Peak,z40,143,628,0.659,0.70718
Cathedral Peak,z13,131,609,0.622,0.7071
Cathedral Peak,z14,133,648,0.594,0.70717
Cathedral Peak,z41,107,695,0.445,0.70704
Half Dome,z54,134,478,0.811,0.70678
Half Dome,z55,131,451,0.885,0.70723
Half Dome,z56,127,412,0.892,0.70719
Half Dome,z57,114,509,0.648,0.70692
Half Dome,z58,141,462,0.883,0.70744
Half Dome,z59,153,397,1.115,0.70769
Half Dome,z60,138,491,0.813,0.70733
Half Dome,z43,107,579,0.535,0.70673
Half Dome,z16,163,380,1.241,0.7076
Half Dome,z44,123,511,0.691,0.70683
Half Dome,z5,146,436,0.969,0.70749
Half Dome,z23,130,526,0.715,0.70701
Half Dome,z6,114,578,0.571,0.70692
Half Dome,z24,121,555,0.631,0.70707
Half Dome,z25,114,568,0.581,0.70696
Half Dome,z26,136,510,0.771,0.70736
Half Dome,z7,110,688,0.463,0.70682
Half Dome,z27,149,413,1.044,0.70757
Half Dome,z28,127,572,0.642,0.70714
Carmel Valley,21,81.1,619,0.379,0.70891
Carmel Valley,22,60.4,689,0.254,0.70867
Carmel Valley,23,90.5,528,0.495,0.70915
Carmel Valley,24,74.3,705,0.300,0.7086
Carmel Valley,25,55.7,744,0.216,0.70876
Carmel Valley,28,81.6,705,0.336,0.70895
Carmel Valley,29,72.7,533,0.394,0.70887
Carmel Valley,30,62.5,732,0.246,0.70853
Carmel Valley,31,81.6,455,0.530,0.70924
Carmel Valley,34,120,445,0.780,0.70968
